"MTU (CET/CEST)","Area","Sequence","Day-ahead (EUR/MWh)","Energy Price (EUR/MWh)"
"03/01/2021 08:00:00 - 03/01/2021 09:00:00","BZN|DK1","Without sequence","24.97",""
"03/01/2021 09:00:00 - 03/01/2021 10:00:00","BZN|DK1","Without sequence","25.65",""
"03/01/2021 10:00:00 - 03/01/2021 11:00:00","BZN|DK1","Without sequence","26.0",""
"03/01/2021 11:00:00 - 03/01/2021 12:00:00","BZN|DK1","Without sequence","26.07",""
"03/01/2021 12:00:00 - 03/01/2021 13:00:00","BZN|DK1","Without sequence","25.87",""
"03/01/2021 13:00:00 - 03/01/2021 14:00:00","BZN|DK1","Without sequence","25.83",""
"03/01/2021 14:00:00 - 03/01/2021 15:00:00","BZN|DK1","Without sequence","26.02",""
"03/01/2021 15:00:00 - 03/01/2021 16:00:00","BZN|DK1","Without sequence","26.5",""
"03/01/2021 16:00:00 - 03/01/2021 17:00:00","BZN|DK1","Without sequence","28.05",""
"03/01/2021 17:00:00 - 03/01/2021 18:00:00","BZN|DK1","Without sequence","28.53",""
"03/01/2021 18:00:00 - 03/01/2021 19:00:00","BZN|DK1","Without sequence","28.17",""
"03/01/2021 19:00:00 - 03/01/2021 20:00:00","BZN|DK1","Without sequence","27.92",""
"03/01/2021 20:00:00 - 03/01/2021 21:00:00","BZN|DK1","Without sequence","27.56",""
"03/01/2021 21:00:00 - 03/01/2021 22:00:00","BZN|DK1","Without sequence","27.04",""
"03/01/2021 22:00:00 - 03/01/2021 23:00:00","BZN|DK1","Without sequence","26.18",""
"03/01/2021 23:00:00 - 04/01/2021 00:00:00","BZN|DK1","Without sequence","24.92",""
"04/01/2021 00:00:00 - 04/01/2021 01:00:00","BZN|DK1","Without sequence","24.66",""
"04/01/2021 01:00:00 - 04/01/2021 02:00:00","BZN|DK1","Without sequence","24.05",""
"04/01/2021 02:00:00 - 04/01/2021 03:00:00","BZN|DK1","Without sequence","23.88",""
"04/01/2021 03:00:00 - 04/01/2021 04:00:00","BZN|DK1","Without sequence","24.03",""
"04/01/2021 04:00:00 - 04/01/2021 05:00:00","BZN|DK1","Without sequence","24.58",""
"04/01/2021 05:00:00 - 04/01/2021 06:00:00","BZN|DK1","Without sequence","25.84",""
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|DK1","Without sequence","28.21",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|DK1","Without sequence","30.85",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|DK1","Without sequence","49.2",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|DK1","Without sequence","50.02",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|DK1","Without sequence","55.4",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|DK1","Without sequence","56.53",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|DK1","Without sequence","52.07",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|DK1","Without sequence","56.53",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|DK1","Without sequence","57.99",""
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|DK1","Without sequence","58.03",""
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|DK1","Without sequence","60.5",""
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|DK1","Without sequence","65.22",""
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|DK1","Without sequence","60.05",""
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|DK1","Without sequence","53.73",""
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|DK1","Without sequence","37.68",""
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|DK1","Without sequence","34.82",""
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|DK1","Without sequence","30.95",""
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|DK1","Without sequence","27.35",""
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|DK1","Without sequence","27.81",""
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|DK1","Without sequence","27.45",""
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|DK1","Without sequence","27.08",""
